stock_name,stock_code,preferred_theme,categories,subthemes,keywords
3S,060310,반도체 업황/테마 부각,AI/데이터센터/로봇 | 건설/인프라 | 반도체 | 빅테크,액침냉각 | 냉난방공조(HVAC) | 반도체 소재/부품 | LG전자,액침냉각 | 반도체 소재/부품 | 냉난방공조(HVAC) | LG전자
AJ네트웍스,095570,자율주행/모빌리티 테마,기타 | 자동차,지주사 | 중고차/렌터카,지주사 | 중고차/렌터카
AK홀딩스,006840,우주 / 항공,건설/인프라 | 기타 | 우주/항공,페인트 | 지주사 | 항공사,지주사 | 항공사 | 페인트
APS,054620,개별주,기타,지주사,지주사
APS이노베이션,079810,이차전지,모바일 | 이차전지,폴더블폰 | 2차전지(장비),폴더블폰 | 2차전지(장비)
AP시스템,265520,반도체 업황/테마 부각,반도체,유리기판 | 반도체 장비,유리기판 | 반도체 장비
AP위성,211270,우주 / 항공,우주/항공,저궤도위성(스타링크/원웹) | 우주개발,저궤도위성(스타링크/원웹) | 우주개발
BF랩스,139050,코인 / 가상자산,IT/신기술 | 가상화폐/가상현실,CCTV | 블록체인,블록체인 | CCTV
BGF,027410,개별주,기타,지주사,지주사
BGF리테일,282330,유통 / 물류,유통/물류,편의점 | 소매유통,편의점 | 소매유통
BGF에코머티리얼즈,126600,반도체 업황/테마 부각,반도체 | 환경/재난,반도체 소재/부품 | 탄소포집(CCUS)/탄소중립,반도체 소재/부품 | 탄소포집(CCUS)/탄소중립
BNK금융지주,138930,정책 수혜 기대감,금융 | 기타 | 정부정책,은행 | 지주사 | 밸류업/저PBR,지주사 | 은행 | 밸류업/저PBR
BYC,001460,개별주,국제 | 생활,반일 불매운동 | 패션/의류,패션/의류 | 반일 불매운동
CG인바이츠,083790,BIO / 의료AI,바이오/의료AI,유전자치료 | 면역항암제,유전자치료 | 면역항암제
CJ,001040,정책 수혜 기대감,기타 | 정부정책,지주사 | 밸류업/저PBR,지주사 | 밸류업/저PBR
CJ CGV,079160,IP / 엔터,IP/엔터,영화/드라마/OTT,영화/드라마/OTT
CJ ENM,035760,유통 / 물류,IP/엔터 | 유통/물류,음원/음반 | 영화/드라마/OTT | 미디어(방송/신문) | 소매유통,소매유통 | 영화/드라마/OTT | 음원/음반 | 미디어(방송/신문)
CJ 바이오사이언스,311690,BIO / 의료AI,바이오/의료AI,유전자치료 | 마이크로바이옴,유전자치료 | 마이크로바이옴
CJ대한통운,000120,유통 / 물류,유통/물류,물류,물류
CJ씨푸드,011150,음식료,음식료 | 정치,수산 | 나경원,수산 | 나경원
CJ제일제당,097950,음식료,음식료,설탕(설탕 대체) | 밀가루 | 대체육,설탕(설탕 대체) | 밀가루 | 대체육
CMG제약,058820,BIO / 의료AI,바이오/의료AI,정신질환치료제 | 낙태/피임,정신질환치료제 | 낙태/피임
CNH,023460,개별주,기타,지주사,지주사
CNT85,056730,건설/인프라 테마,건설/인프라,건설기계,건설기계
CR홀딩스,000480,개별주,기타 | 레저,지주사 | 골프,지주사 | 골프
CS,065770,IT / 통신,정치 | 통신,이재명 | 통신/통신장비 | 5G/6G,이재명 | 통신/통신장비 | 5G/6G
CS홀딩스,000590,개별주,기타,지주사,지주사
DB,012030,개별주,기타,지주사,지주사
DB손해보험,005830,정책 수혜 기대감,금융 | 정부정책,보험 | 밸류업/저PBR,밸류업/저PBR | 보험
DB증권,016610,정책 수혜 기대감,금융 | 정부정책,증권 | 밸류업/저PBR,밸류업/저PBR | 증권
DB하이텍,000990,반도체 업황/테마 부각,반도체 | 빅테크 | 자동차,차량용 반도체 | 전력반도체 | 테슬라 | 자율주행,테슬라 | 차량용 반도체 | 전력반도체 | 자율주행
DH오토넥스,000300,자율주행/모빌리티 테마,자동차,수소차/수소충전,수소차/수소충전
DH오토웨어,025440,자율주행/모빌리티 테마,AI/데이터센터/로봇 | 국제 | 자동차,AI(인공지능) | 북미공장 | 자율주행,자율주행 | 북미공장 | AI(인공지능)
DI동일,001530,전력 / 에너지,생활 | 에너지 | 원자재 | 이차전지,패션/의류 | ESS(전력저장장치) | 알루미늄 | LFP배터리(리튬인산철),패션/의류 | 알루미늄 | LFP배터리(리튬인산철) | ESS(전력저장장치)
DL,000210,건설/인프라 테마,건설/인프라 | 기타 | 레저 | 에너지 | 원자재,건설 | 지주사 | 호텔/카지노 | 여행 | 원자력 발전 | 석유/정유,지주사 | 호텔/카지노 | 원자력 발전 | 여행 | 석유/정유 | 건설
DL이앤씨,375500,건설/인프라 테마,건설/인프라 | 국제 | 에너지,건설 | 재건 | 원자력 발전 | SMR(소형모듈원자로),원자력 발전 | 건설 | SMR(소형모듈원자로) | 재건
DRB동일,004840,개별주,기타,지주사,지주사
DSC인베스트먼트,241520,유통 / 물류,금융 | 유니콘,창투사/벤처투자 | 퓨리오사AI | 마켓컬리 | 두나무,퓨리오사AI | 창투사/벤처투자 | 마켓컬리 | 두나무
DSR,155660,정치 테마,정치,홍준표 | 유승민,홍준표 | 유승민
DSR제강,069730,원자재 테마,건설/인프라 | 정치 | 원자재,철강/철근 | 홍준표 | 유승민 | 석유/정유,석유/정유 | 홍준표 | 유승민 | 철강/철근
DS단석,017860,BIO / 의료AI,에너지 | 환경/재난,원자력 발전 | 바이오연료 | 탈플라스틱(바이오플라스틱),원자력 발전 | 탈플라스틱(바이오플라스틱) | 바이오연료
DXVX,180400,BIO / 의료AI,바이오/의료AI | 전염병/질병,비만치료제 | 마이크로바이옴 | 마이코플라스마 폐렴,마이크로바이옴 | 비만치료제 | 마이코플라스마 폐렴
E1,017940,전력 / 에너지,원자재,셰일가스,셰일가스
E8,418620,코인 / 가상자산,IT/신기술 | 가상화폐/가상현실,디지털트윈 | VR/AR/XR,디지털트윈 | VR/AR/XR
EDGC,245620,BIO / 의료AI,바이오/의료AI,마리화나(대마),마리화나(대마)
EG,037370,이차전지,원자재 | 이차전지,희토류 | LFP배터리(리튬인산철),LFP배터리(리튬인산철) | 희토류
ESR켄달스퀘어리츠,365550,금융,금융,리츠,리츠
F&F,383220,개별주,생활,패션/의류,패션/의류
F&F홀딩스,007700,정책 수혜 기대감,기타 | 생활 | 정부정책,지주사 | 패션/의류 | 밸류업/저PBR,지주사 | 밸류업/저PBR | 패션/의류
FSN,214270,코인 / 가상자산,IP/엔터 | 가상화폐/가상현실 | 빅테크 | 생활,음원/음반 | SNS/광고(틱톡 등) | 블록체인 | 가상화폐 | STO(증권형 토큰 발행) | NFT(대체불가능토큰) | 텐센트/알리바바/바이두 | 패션/의류,블록체인 | 패션/의류 | 음원/음반 | 텐센트/알리바바/바이두 | 가상화폐 | STO(증권형 토큰 발행) | SNS/광고(틱톡 등) | NFT(대체불가능토큰)
GC메디아이,032620,정책 수혜 기대감,바이오/의료AI | 정부정책,원격진료/비대면진료 | 고령화/노인복지,고령화/노인복지 | 원격진료/비대면진료
GH신소재,130500,BIO / 의료AI,정치 | 전염병/질병 | 의료기기/의료시설,우원식 | 코로나 | 음압병실,코로나 | 음압병실 | 우원식
GKL,114090,개별주,레저,호텔/카지노,호텔/카지노
GRT,900290,화장품 / 중국,기타 | 바이오/의료AI,국내 상장 중국기업 | 딥시크,딥시크 | 국내 상장 중국기업
GS,078930,원자재 테마,기타 | 원자재,지주사 | 석유/정유,지주사 | 석유/정유
GST,083450,반도체 업황/테마 부각,AI/데이터센터/로봇 | 건설/인프라 | 반도체 | 유통/물류,액침냉각 | 냉난방공조(HVAC) | 반도체 장비 | TSMC | 콜드체인,액침냉각 | 냉난방공조(HVAC) | 반도체 장비 | 콜드체인 | TSMC
GS건설,006360,건설/인프라 테마,건설/인프라 | 국제 | 에너지,모듈러주택 | 건설 | 재건 | 원자력 발전 | SMR(소형모듈원자로),원자력 발전 | 건설 | SMR(소형모듈원자로) | 모듈러주택 | 재건
GS글로벌,001250,전력 / 에너지,에너지 | 유통/물류 | 정부정책 | 원자재,풍력 발전 | 종합상사 | 대왕고래 | 자원개발 | 셰일가스 | 석탄,셰일가스 | 종합상사 | 자원개발 | 석탄 | 대왕고래 | 풍력 발전
GS리테일,007070,유통 / 물류,유통/물류,편의점 | 소매유통,편의점 | 소매유통
GS피앤엘,499790,개별주,기타 | 레저,지주사 | 호텔/카지노 | 여행,지주사 | 호텔/카지노 | 여행
HB인베스트먼트,440290,금융,금융,창투사/벤처투자,창투사/벤처투자
HB테크놀러지,078150,반도체 업황/테마 부각,반도체,유리기판 | 반도체 장비,유리기판 | 반도체 장비
HC보광산업,225530,정책 수혜 기대감,건설/인프라 | 정부정책 | 정치,"시멘트 | 도로 | 신공항(가덕도, 대구 등) | 홍준표 | 유승민","홍준표 | 유승민 | 시멘트 | 도로 | 신공항(가덕도, 대구 등)"
HC홈센타,060560,정책 수혜 기대감,건설/인프라 | 정부정책 | 정치,"시멘트 | 도로 | 신공항(가덕도, 대구 등) | 홍준표 | 유승민","홍준표 | 유승민 | 시멘트 | 도로 | 신공항(가덕도, 대구 등)"
HDC,012630,건설/인프라 테마,건설/인프라 | 기타 | 레저,건설 | 지주사 | 호텔/카지노 | 면세점,지주사 | 호텔/카지노 | 건설 | 면세점
HDC랩스,039570,개별주,IT/신기술,디지털트윈,디지털트윈
HDC현대EP,089470,개별주,생활,화학섬유,화학섬유
HD건설기계,267270,건설/인프라 테마,건설/인프라 | 국제,건설기계 | 재건,건설기계 | 재건
HD한국조선해양,009540,조선/기자재 테마,AI/데이터센터/로봇 | 기타 | 조선/해운,데이터센터/클라우드 | 지주사 | 해양플랜트 | 조선,지주사 | 해양플랜트 | 조선 | 데이터센터/클라우드
HD현대,267250,정책 수혜 기대감,기계/방산 | 기타 | 정부정책 | 원자재 | 조선/해운 | 전력,방산 | 지주사 | 밸류업/저PBR | 석유/정유 | 조선 | 변압기,지주사 | 밸류업/저PBR | 석유/정유 | 조선 | 변압기 | 방산
HD현대마린솔루션,443060,조선/기자재 테마,조선/해운,조선기자재 | 조선,조선 | 조선기자재
HD현대마린엔진,071970,조선/기자재 테마,조선/해운,조선기자재 | 조선,조선 | 조선기자재
HD현대미포,010620,조선/기자재 테마,조선/해운,해양플랜트 | 조선,해양플랜트 | 조선
HD현대에너지솔루션,322000,전력 / 에너지,에너지,태양광 발전,태양광 발전
HD현대인프라코어,042670,건설/인프라 테마,건설/인프라 | 국제,건설기계 | 재건,건설기계 | 재건
HD현대일렉트릭,267260,전력 / 에너지,에너지 | 전력,ESS(전력저장장치) | 변압기,변압기 | ESS(전력저장장치)
HD현대중공업,329180,조선/기자재 테마,AI/데이터센터/로봇 | 조선/해운,데이터센터/클라우드 | 해양플랜트 | 조선기자재 | 조선,해양플랜트 | 조선 | 조선기자재 | 데이터센터/클라우드
HEM파마,376270,BIO / 의료AI,바이오/의료AI,마이크로바이옴,마이크로바이옴
HJ중공업,097230,조선/기자재 테마,조선/해운,해양플랜트 | 조선,해양플랜트 | 조선
HK이노엔,195940,BIO / 의료AI,바이오/의료AI | 화장품/미용,비만치료제 | 탈모,비만치료제 | 탈모
HL D&I,014790,건설/인프라 테마,건설/인프라 | 레저 | 정부정책,건설 | 골프 | 세종시(행정수도 이전) | 대왕고래,골프 | 건설 | 대왕고래 | 세종시(행정수도 이전)
HLB,028300,BIO / 의료AI,바이오/의료AI,면역항암제,면역항암제
HLB글로벌,003580,건설/인프라 테마,건설/인프라,건설,건설
HLB바이오스텝,278650,BIO / 의료AI,바이오/의료AI,CRO(임상시험수탁기관),CRO(임상시험수탁기관)
HLB제넥스,187420,BIO / 의료AI,바이오/의료AI,마이크로바이옴,마이크로바이옴
HLB제약,047920,BIO / 의료AI,바이오/의료AI,비만치료제,비만치료제
HLB펩,196300,BIO / 의료AI,바이오/의료AI,비만치료제,비만치료제
HL만도,204320,로봇 테마 부각,AI/데이터센터/로봇 | 빅테크,휴머노이드 | 액추에이터/감속기 | 로봇 | 현대차/보스턴다이내믹스,로봇 | 현대차/보스턴다이내믹스 | 휴머노이드 | 액추에이터/감속기
HL홀딩스,060980,정책 수혜 기대감,AI/데이터센터/로봇 | 기타 | 정부정책,휴머노이드 | 로봇 | 지주사 | 밸류업/저PBR,지주사 | 밸류업/저PBR | 로봇 | 휴머노이드
HMM,011200,조선/기자재 테마,정부정책 | 조선/해운,북극항로 | 금강산 관광 | 해운,해운 | 북극항로 | 금강산 관광
HPSP,403870,반도체 업황/테마 부각,반도체,테라팹 | 반도체 장비 | 3D 낸드(NAND),반도체 장비 | 3D 낸드(NAND) | 테라팹
HRS,036640,이차전지,환경/재난 | 이차전지,화재/산불 | 지진 | 실리콘 음극재,지진 | 화재/산불 | 실리콘 음극재
HS화성,002460,건설/인프라 테마,건설/인프라,건설,건설
HS효성,487570,정책 수혜 기대감,기타 | 정부정책,지주사 | 밸류업/저PBR,지주사 | 밸류업/저PBR
HS효성첨단소재,298050,자율주행/모빌리티 테마,자동차,타이어 | 수소차/수소충전,수소차/수소충전 | 타이어
IHQ,003560,IP / 엔터,IP/엔터,음원/음반 | 미디어(방송/신문),음원/음반 | 미디어(방송/신문)
INVENI,015360,개별주,기타,지주사,지주사
IPARK현대산업개발,294870,건설/인프라 테마,건설/인프라,건설,건설
ISC,095340,반도체 업황/테마 부각,반도체,반도체 장비 | 반도체 소재/부품,반도체 소재/부품 | 반도체 장비
JB금융지주,175330,정책 수혜 기대감,금융 | 기타 | 정부정책,은행 | 지주사 | 밸류업/저PBR,지주사 | 은행 | 밸류업/저PBR
JK리버스톤리츠,204210,금융,금융,리츠,리츠
JTC,950170,개별주,레저,면세점,면세점
JW신약,067290,화장품 / 중국,화장품/미용,탈모,탈모
JW홀딩스,096760,개별주,기타,지주사,지주사
JYP Ent.,035900,IP / 엔터,IP/엔터,음원/음반,음원/음반
KBG,318000,이차전지,이차전지,실리콘 음극재,실리콘 음극재
KBI동양철관,008970,원자재 테마,건설/인프라 | 국제 | 정부정책,철강/철근 | 수자원/수처리 | 강관/가스관 | 알래스카 LNG 사업 | 대왕고래,철강/철근 | 대왕고래 | 강관/가스관 | 알래스카 LNG 사업 | 수자원/수처리
KBI메탈,024840,전력기기/전력망 테마,원자재 | 전력,구리 | 해저케이블 | 전선 | 변압기,변압기 | 해저케이블 | 전선 | 구리
KB금융,105560,정책 수혜 기대감,금융 | 기타 | 정부정책,은행 | 지주사 | 밸류업/저PBR,지주사 | 은행 | 밸류업/저PBR
KB발해인프라,415640,금융,금융,증권,증권
KB스타리츠,432320,금융,금융,리츠,리츠
KCC,002380,건설/인프라 테마,건설/인프라,페인트 | 리모델링/인테리어,페인트 | 리모델링/인테리어
KCC건설,021320,건설/인프라 테마,건설/인프라 | 정치,건설 | 한동훈,건설 | 한동훈
KCC글라스,344820,건설/인프라 테마,건설/인프라,리모델링/인테리어,리모델링/인테리어
KCTC,009070,유통 / 물류,유통/물류 | 정부정책 | 유니콘,물류 | 북극항로 | 쿠팡,물류 | 북극항로 | 쿠팡
KD,044180,건설/인프라 테마,건설/인프라 | 정치,건설 | 이재명 | 오세훈,이재명 | 건설 | 오세훈
KEC,092220,반도체 업황/테마 부각,반도체 | 빅테크 | 자동차,전력반도체 | 반도체 소재/부품 | 테슬라 | 리비안,반도체 소재/부품 | 테슬라 | 전력반도체 | 리비안
KG스틸,016380,원자재 테마,건설/인프라,철강/철근,철강/철근
KG에코솔루션,151860,건설/인프라 테마,건설/인프라 | 환경/재난,폐기물처리 | 태풍/수해,폐기물처리 | 태풍/수해
KG이니시스,035600,코인 / 가상자산,가상화폐/가상현실 | 금융 | 모바일 | 유니콘,스테이블코인 | 가상화폐 | 핀테크 | 애플페이 | 케이뱅크,가상화폐 | 핀테크 | 애플페이 | 스테이블코인 | 케이뱅크
KG케미칼,001390,남북경협/대북 테마,레저 | 정부정책 | 음식료 | 원자재,골프 | 남북경협 | 비료 | 요소수,골프 | 요소수 | 비료 | 남북경협
KG파이낸셜,046440,코인 / 가상자산,가상화폐/가상현실 | 금융 | 모바일,스테이블코인 | 가상화폐 | 핀테크 | 애플페이,가상화폐 | 핀테크 | 애플페이 | 스테이블코인
KH바텍,060720,로봇 테마 부각,AI/데이터센터/로봇 | 모바일 | 자동차,액추에이터/감속기 | 로봇 | 폴더블폰 | 갤럭시 부품 | 자동차부품,폴더블폰 | 갤럭시 부품 | 로봇 | 액추에이터/감속기 | 자동차부품
KISCO홀딩스,001940,원자재 테마,건설/인프라 | 기타,철강/철근 | 지주사,지주사 | 철강/철근
KNN,058400,IP / 엔터,IP/엔터 | 정치,미디어(방송/신문) | 홍준표 | 홍정욱,미디어(방송/신문) | 홍준표 | 홍정욱
KPX케미칼,025000,반도체 업황/테마 부각,반도체,반도체 소재/부품,반도체 소재/부품
KPX홀딩스,092230,개별주,기타,지주사,지주사
KSS해운,044450,조선/기자재 테마,조선/해운,해운,해운
KS인더스트리,101000,조선/기자재 테마,조선/해운,조선기자재 | 조선,조선 | 조선기자재
KT,030200,정책 수혜 기대감,정부정책 | 유니콘 | 통신,밸류업/저PBR | 야놀자 | 통신/통신장비,밸류업/저PBR | 통신/통신장비 | 야놀자
KT&G,033780,정책 수혜 기대감,정부정책,밸류업/저PBR,밸류업/저PBR
KTcs,058850,IT / 통신,통신,통신/통신장비,통신/통신장비
KT나스미디어,089600,IP / 엔터,IP/엔터,SNS/광고(틱톡 등),SNS/광고(틱톡 등)
KT지니뮤직,043610,IP / 엔터,IP/엔터 | 빅테크,음원/음반 | 구글,음원/음반 | 구글
KX,122450,정책 수혜 기대감,레저 | 정부정책,골프 | 밸류업/저PBR,밸류업/저PBR | 골프
KX하이텍,052900,반도체 업황/테마 부각,AI/데이터센터/로봇 | 반도체,SSD | 반도체 소재/부품 | 마이크론,반도체 소재/부품 | 마이크론 | SSD
KZ정밀,036560,정치 테마,정치,김부겸,김부겸
LB세미콘,061970,반도체 업황/테마 부각,반도체,전력반도체 | 반도체 장비,반도체 장비 | 전력반도체
LB인베스트먼트,309960,반도체 업황/테마 부각,금융 | 반도체 | 유니콘,창투사/벤처투자 | SOCAMM | 퓨리오사AI,퓨리오사AI | 창투사/벤처투자 | SOCAMM
LF,093050,개별주,생활,패션/의류,패션/의류
LG,003550,정책 수혜 기대감,AI/데이터센터/로봇 | 기타 | 정부정책,로봇 | 지주사 | 밸류업/저PBR,지주사 | 밸류업/저PBR | 로봇
LG디스플레이,034220,로봇 테마 부각,AI/데이터센터/로봇 | 모바일 | 반도체,로봇 | 아이폰 부품 | 디스플레이,아이폰 부품 | 로봇 | 디스플레이
LG생활건강,051900,화장품 / 중국,화장품/미용,화장품,화장품
LG씨엔에스,064400,로봇 테마 부각,AI/데이터센터/로봇 | 가상화폐/가상현실 | 기타,스마트팩토리 | 로봇 | 데이터센터/클라우드 | AI(인공지능) | 스테이블코인 | CBDC | 2025년 1분기 신규상장,스테이블코인 | 데이터센터/클라우드 | 2025년 1분기 신규상장 | 로봇 | CBDC | AI(인공지능) | 스마트팩토리
LG에너지솔루션,373220,이차전지,AI/데이터센터/로봇 | 빅테크 | 에너지 | 이차전지,휴머노이드 | 테슬라 | ESS(전력저장장치) | 원통형 배터리 | LFP배터리(리튬인산철),테슬라 | LFP배터리(리튬인산철) | ESS(전력저장장치) | 원통형 배터리 | 휴머노이드
LG유플러스,032640,IT / 통신,자동차 | 통신,전기차 충전 | 통신/통신장비 | 5G/6G,통신/통신장비 | 전기차 충전 | 5G/6G
LG이노텍,011070,반도체 업황/테마 부각,AI/데이터센터/로봇 | IT/신기술 | 모바일 | 반도체 | 빅테크,스마트팩토리 | 로봇 | 카메라모듈/부품 | 아이폰 부품 | 유리기판 | 반도체 패키징 | PCB/FPCB(회로기판) | 현대차/보스턴다이내믹스 | 애플,유리기판 | 아이폰 부품 | 애플 | 로봇 | 스마트팩토리 | 현대차/보스턴다이내믹스 | 카메라모듈/부품 | 반도체 패키징 | PCB/FPCB(회로기판)
LG전자,066570,로봇 테마 부각,AI/데이터센터/로봇 | 정부정책,휴머노이드 | 액침냉각 | 액추에이터/감속기 | 로봇 | 밸류업/저PBR,액침냉각 | 밸류업/저PBR | 로봇 | 휴머노이드 | 액추에이터/감속기
LG헬로비전,037560,IT / 통신,IP/엔터 | 자동차 | 통신,영화/드라마/OTT | 전기차 충전 | 알뜰폰(MVNO),영화/드라마/OTT | 전기차 충전 | 알뜰폰(MVNO)
LG화학,051910,이차전지,모바일 | 이차전지,아이폰 부품 | LFP배터리(리튬인산철),LFP배터리(리튬인산철) | 아이폰 부품
LIG디펜스앤에어로스페이스,079550,우주 / 항공,기계/방산 | 우주/항공,방산 | 항공기부품,항공기부품 | 방산
LIG아큐버,073490,IT / 통신,기계/방산 | 통신,방산 | 통신/통신장비 | 5G/6G,통신/통신장비 | 방산 | 5G/6G | 반도체 장비 | 우주개발
LK삼양,225190,우주 / 항공,우주/항공 | 자동차,우주개발 | UAM/드론 | 전기차 화재 방지,우주개발 | 전기차 화재 방지 | UAM/드론
LS,006260,정책 수혜 기대감,기타 | 정부정책 | 전력,지주사 | 에너지고속도로 | 밸류업/저PBR | 해저케이블 | 전선 | 변압기 | HVDC(초고압직류송전),지주사 | 밸류업/저PBR | 변압기 | 해저케이블 | 전선 | 에너지고속도로 | HVDC(초고압직류송전)
LS ELECTRIC,010120,전력 / 에너지,에너지 | 정부정책 | 전력,원자력 발전 | ESS(전력저장장치) | 에너지고속도로 | 전선 | 변압기 | HVDC(초고압직류송전),원자력 발전 | 변압기 | ESS(전력저장장치) | 전선 | 에너지고속도로 | HVDC(초고압직류송전)
LS네트웍스,000680,전력기기/전력망 테마,신소재 | 정치 | 전력,초전도체 | 이재명 | 해저케이블 | 전선,이재명 | 해저케이블 | 전선 | 초전도체
LS마린솔루션,060370,전력기기/전력망 테마,건설/인프라 | 에너지 | 환경/재난 | 정부정책 | 정치 | 조선/해운 | 전력,"지하화(해저터널, GTX 등) | 풍력 발전 | 지진 | 에너지고속도로 | 이낙연 | 해양플랜트 | 해저케이블 | 전선 | HVDC(초고압직류송전)","지진 | 해양플랜트 | 해저케이블 | 전선 | 지하화(해저터널, GTX 등) | 이낙연 | 에너지고속도로 | HVDC(초고압직류송전) | 풍력 발전"
LS머트리얼즈,417200,전력 / 에너지,에너지 | 원자재 | 전력,풍력 발전 | 블룸에너지 | 고체산화물 연료전지(SOFC) | 알루미늄 | 스마트그리드,알루미늄 | 블룸에너지 | 고체산화물 연료전지(SOFC) | 풍력 발전 | 스마트그리드
LS에코에너지,229640,전력기기/전력망 테마,AI/데이터센터/로봇 | 기타 | 신소재 | 원자재 | 전력,로봇 | 지주사 | 초전도체 | 희토류 | 해저케이블 | 전선,지주사 | 해저케이블 | 전선 | 초전도체 | 희토류 | 로봇
LS증권,078020,금융,금융,증권,증권
LS티라유텍,322180,로봇 테마 부각,AI/데이터센터/로봇,스마트팩토리 | 로봇,로봇 | 스마트팩토리
LX세미콘,108320,반도체 업황/테마 부각,모바일 | 반도체 | 빅테크 | 자동차,아이폰 부품 | 차량용 반도체 | 전력반도체 | 유리기판 | 반도체 설계 | 애플 | 스마트카(애플카 등),유리기판 | 차량용 반도체 | 전력반도체 | 아이폰 부품 | 애플 | 스마트카(애플카 등) | 반도체 설계
LX인터내셔널,001120,원자재 테마,유통/물류 | 원자재,종합상사 | 자원개발 | 석탄 | 니켈,종합상사 | 자원개발 | 석탄 | 니켈
LX하우시스,108670,건설/인프라 테마,건설/인프라,리모델링/인테리어,리모델링/인테리어
LX홀딩스,383800,반도체 업황/테마 부각,건설/인프라 | 기타 | 반도체,리모델링/인테리어 | 지주사 | 반도체 설계,지주사 | 리모델링/인테리어 | 반도체 설계
M83,476080,IP / 엔터,AI/데이터센터/로봇 | IP/엔터 | IT/신기술,데이터센터/클라우드 | 영화/드라마/OTT | 게임 | 딥페이크,영화/드라마/OTT | 데이터센터/클라우드 | 딥페이크 | 게임
MDS테크,086960,코인 / 가상자산,IT/신기술 | 가상화폐/가상현실 | 빅테크,양자암호/양자컴퓨팅 | 보안 | NFT(대체불가능토큰) | 엔비디아 | 소프트뱅크,NFT(대체불가능토큰) | 엔비디아 | 소프트뱅크 | 보안 | 양자암호/양자컴퓨팅
MH에탄올,023150,음식료,레저 | 음식료 | 정치,"골프 | 주류업(주정, 에탄올 등) | 홍준표","골프 | 홍준표 | 주류업(주정, 에탄올 등)"
NAVER,035420,코인 / 가상자산,AI/데이터센터/로봇 | IP/엔터 | 가상화폐/가상현실 | 빅테크 | 유니콘,데이터센터/클라우드 | AI(인공지능) | 웹툰/웹소설 | 스테이블코인 | 네이버 | 두나무,두나무 | 스테이블코인 | 데이터센터/클라우드 | 웹툰/웹소설 | 네이버 | AI(인공지능)
NC,036570,IP / 엔터,IP/엔터 | 가상화폐/가상현실,웹툰/웹소설 | 게임 | NFT(대체불가능토큰),NFT(대체불가능토큰) | 게임 | 웹툰/웹소설
NEW,160550,IP / 엔터,IP/엔터,영화/드라마/OTT,영화/드라마/OTT
NE능률,053290,정책 수혜 기대감,생활 | 정치,교육 | 윤석열 | 오세훈,오세훈 | 윤석열 | 교육
NHN,181710,코인 / 가상자산,AI/데이터센터/로봇 | IT/신기술 | 가상화폐/가상현실,데이터센터/클라우드 | 보안 | 스테이블코인,스테이블코인 | 데이터센터/클라우드 | 보안
NHN KCP,060250,코인 / 가상자산,가상화폐/가상현실 | 금융 | 모바일 | 빅테크,스테이블코인 | 블록체인 | 가상화폐 | 핀테크 | 애플페이 | 네이버,블록체인 | 가상화폐 | 핀테크 | 애플페이 | 스테이블코인 | 네이버
NHN벅스,104200,IP / 엔터,IP/엔터 | 빅테크,음원/음반 | 구글,음원/음반 | 구글
NH농우바이오,054050,음식료,음식료,비료,비료
NH올원리츠,400760,금융,금융,리츠,리츠
NH투자증권,005940,금융,금융,증권,증권
NH프라임리츠,338100,금융,금융,리츠,리츠
NICE,034310,금융,금융 | 기타 | 모바일,신용평가사 | 지주사 | 애플페이,지주사 | 애플페이 | 신용평가사
NICE인프라,063570,자율주행/모빌리티 테마,모바일 | 자동차,애플페이 | 전기차 충전,애플페이 | 전기차 충전
NICE평가정보,030190,정책 수혜 기대감,금융 | 정부정책,신용평가사 | 밸류업/저PBR,밸류업/저PBR | 신용평가사
NI스틸,008260,원자재 테마,건설/인프라,철강/철근,철강/철근
NPC,004250,이차전지,이차전지,폐배터리,폐배터리
OCI,456040,전력 / 에너지,반도체 | 에너지 | 환경/재난,반도체 소재/부품 | 태양광 발전 | ESS(전력저장장치) | 한파/제설,반도체 소재/부품 | 태양광 발전 | ESS(전력저장장치) | 한파/제설
OCI홀딩스,010060,전력 / 에너지,기타 | 반도체 | 에너지 | 우주/항공,지주사 | 반도체 소재/부품 | 태양광 발전 | ESS(전력저장장치) | 우주개발 | 스페이스X,반도체 소재/부품 | 지주사 | 우주개발 | 태양광 발전 | ESS(전력저장장치) | 스페이스X
PI첨단소재,178920,반도체 업황/테마 부각,모바일 | 반도체 | 우주/항공,폴더블폰 | 갤럭시 부품 | 반도체 소재/부품 | PCB/FPCB(회로기판) | 우주개발,반도체 소재/부품 | 우주개발 | 폴더블폰 | 갤럭시 부품 | PCB/FPCB(회로기판)
PKC,001340,반도체 업황/테마 부각,반도체 | 환경/재난 | 정부정책 | 이차전지,반도체 소재/부품 | 한파/제설 | 그린벨트 해제 | 전해질(전해액),반도체 소재/부품 | 한파/제설 | 전해질(전해액) | 그린벨트 해제
PN풍년,024940,정치 테마,생활 | 정치,밥솥 | 김동연,밥솥 | 김동연
POSCO홀딩스,005490,정책 수혜 기대감,건설/인프라 | 정부정책 | 원자재,철강/철근 | 모듈러주택 | 밸류업/저PBR | 리튬 | 니켈,밸류업/저PBR | 철강/철근 | 모듈러주택 | 니켈 | 리튬
