stock_name,stock_code,preferred_theme,categories,subthemes,keywords
에이아이코리아,364950,전력 / 에너지,AI/데이터센터/로봇 | 기타 | 반도체 | 에너지,로봇 | 2025년 2분기 신규상장 | 반도체 장비 | ESS(전력저장장치),반도체 장비 | ESS(전력저장장치) | 로봇 | 2025년 2분기 신규상장
에이에스텍,453860,화장품 / 중국,화장품/미용,화장품,화장품
에이에프더블류,312610,자율주행/모빌리티 테마,자동차,리비안,리비안
에이엔피,015260,반도체 업황/테마 부각,반도체,PCB/FPCB(회로기판),PCB/FPCB(회로기판)
에이엘티,172670,반도체 업황/테마 부각,IT/신기술 | 반도체,양자암호/양자컴퓨팅 | 온센서AI | 반도체 장비,반도체 장비 | 양자암호/양자컴퓨팅 | 온센서AI
에이유브랜즈,481070,개별주,기타 | 생활,2025년 2분기 신규상장 | 패션/의류,패션/의류 | 2025년 2분기 신규상장
에이전트AI,060900,전력 / 에너지,에너지,태양광 발전,태양광 발전
에이직랜드,445090,반도체 업황/테마 부각,반도체,반도체 설계 | 뉴로모픽(NPU) | TSMC,반도체 설계 | 뉴로모픽(NPU) | TSMC
에이치브이엠,295310,우주 / 항공,기계/방산 | 우주/항공,방산 | 우주개발 | 스페이스X,우주개발 | 방산 | 스페이스X
에이치엔에스하이텍,044990,반도체 업황/테마 부각,IT/신기술 | 반도체,카메라모듈/부품 | 반도체 패키징,카메라모듈/부품 | 반도체 패키징
에이치엘사이언스,239610,음식료,바이오/의료AI | 음식료 | 정치 | 화장품/미용,마이크로바이옴 | 건강기능식품 | 이재명 | 탈모,마이크로바이옴 | 이재명 | 탈모 | 건강기능식품
에이치엠넥스,036170,반도체 업황/테마 부각,반도체,반도체 소재/부품 | 마이크론,반도체 소재/부품 | 마이크론
에이치와이티씨,148930,이차전지,이차전지,폐배터리 | 2차전지(장비),폐배터리 | 2차전지(장비)
에이치피오,357230,개별주,생활,반려동물,반려동물
에이텀,355690,자율주행/모빌리티 테마,모바일 | 자동차,갤럭시 부품 | 전기차 화재 방지 | 전기차 충전,갤럭시 부품 | 전기차 충전 | 전기차 화재 방지
에이테크솔루션,071670,자율주행/모빌리티 테마,자동차,자율주행,자율주행
에이텍,045660,정치 테마,정치,이재명,이재명
에이텍모빌리티,224110,정치 테마,모바일 | 정치,애플페이 | 이재명,이재명 | 애플페이
에이티넘인베스트,021080,금융,금융 | 정치 | 유니콘,창투사/벤처투자 | 한동훈 | 두나무,창투사/벤처투자 | 두나무 | 한동훈
에이팩트,200470,반도체 업황/테마 부각,반도체,온디바이스AI | 반도체 장비 | SOCAMM,반도체 장비 | SOCAMM | 온디바이스AI
에이프로,262260,반도체 업황/테마 부각,반도체 | 자동차 | 이차전지,전력반도체 | 전기차 충전 | 2차전지(장비),전력반도체 | 전기차 충전 | 2차전지(장비)
에이프로젠,007460,BIO / 의료AI,바이오/의료AI | 전염병/질병,면역항암제 | 엠폭스(원숭이두창),면역항암제 | 엠폭스(원숭이두창)
에이프로젠바이오로직스,003060,개별주,전염병/질병,조류독감,조류독감
에이플러스에셋,244920,금융,금융,보험,보험
에이피알,278470,화장품 / 중국,화장품/미용,화장품 | 피부/미용기기,화장품 | 피부/미용기기
에치에프알,230240,IT / 통신,IT/신기술 | 통신,양자암호/양자컴퓨팅 | 통신/통신장비 | 5G/6G,통신/통신장비 | 5G/6G | 양자암호/양자컴퓨팅
에코글로우,159910,화장품 / 중국,화장품/미용,화장품,화장품
에코마케팅,230360,IP / 엔터,IP/엔터,SNS/광고(틱톡 등),SNS/광고(틱톡 등)
